觀測時間,測站氣壓,海平面氣壓,測站最高氣壓,測站最高氣壓時間,測站最低氣壓,測站最低氣壓時間,氣溫,最高氣溫,最高氣溫時間,最低氣溫,最低氣溫時間,露點溫度,相對溼度,最小相對溼度,最小相對溼度時間,風速,風向,最大陣風,最大陣風風向,最大陣風風速時間,降水量,降水時數,10分鐘最大降水量,10分鐘最大降水起始時間,一小時最大降水量,一小時最大降水量起始時間,日照時數,日照率,全天空日射量,能見度,A型蒸發量
1,1012.7,1016.2,1015.5,2017-11-01 00:01,1010.5,2017-11-01 14:54,23.7,28.1,2017-11-01 13:31,20.5,2017-11-01 05:27,19.0,76,57,2017-11-01 14:45,2.9,50,10.9,60,2017-11-01 12:30,0.5,1.1,0.5,2017-11-01 08:16,0.5,2017-11-01 07:54,5.2,46.8,11.62,20.8,-3.4
2,1010.3,1013.8,1011.7,2017-11-02 08:34,1008.2,2017-11-02 14:01,25.6,30.3,2017-11-02 11:59,21.9,2017-11-02 05:07,20.0,72,59,2017-11-02 11:59,1.4,10,7.3,10,2017-11-02 13:56,0.0,0.0,0.0,,0.0,,2.7,24.4,10.17,22.5,-1.2
3,1013.8,1017.4,1017.6,2017-11-03 23:27,1010.2,2017-11-03 03:40,22.9,25.1,2017-11-03 00:01,21.2,2017-11-03 23:23,19.4,80,68,2017-11-03 15:02,1.4,70,10.7,20,2017-11-03 11:03,14.1,9.0,3.5,2017-11-03 00:38,10.5,2017-11-03 00:19,0.0,0.0,1.13,16.5,0.0
4,1020.0,1023.6,1021.7,2017-11-04 09:35,1017.1,2017-11-04 01:42,19.7,23.0,2017-11-04 03:02,17.7,2017-11-04 18:52,15.3,76,64,2017-11-04 03:02,4.2,50,14.0,30,2017-11-04 15:57,1.2,6.7,0.3,2017-11-04 05:25,0.6,2017-11-04 05:00,0.0,0.0,1.14,6.1,-0.5
5,1017.1,1020.7,1020.0,2017-11-05 00:01,1014.8,2017-11-05 23:30,20.7,22.2,2017-11-05 23:30,18.9,2017-11-05 05:27,16.1,75,70,2017-11-05 00:53,4.9,50,12.8,60,2017-11-05 11:36,0.0,0.0,0.0,,0.0,,0.0,0.0,6.30,13.0,1.9
6,1012.2,1015.7,1014.9,2017-11-06 00:01,1010.5,2017-11-06 14:38,25.7,29.1,2017-11-06 11:32,22.0,2017-11-06 00:01,19.4,69,57,2017-11-06 11:55,4.0,50,12.0,40,2017-11-06 01:13,0.5,0.3,0.5,2017-11-06 21:34,0.5,2017-11-06 20:44,2.2,20.0,10.43,26.8,-7.9
7,1011.5,1015.0,1013.8,2017-11-07 21:45,1009.3,2017-11-07 13:49,27.5,32.4,2017-11-07 13:23,24.3,2017-11-07 23:50,21.1,68,57,2017-11-07 10:08,1.7,60,8.6,50,2017-11-07 00:03,0.0,0.0,0.0,,0.0,,4.2,38.2,11.47,21.5,-3.8
8,1013.6,1017.2,1015.0,2017-11-08 09:21,1012.2,2017-11-08 13:30,23.7,25.8,2017-11-08 12:56,22.5,2017-11-08 23:08,19.4,77,72,2017-11-08 13:16,3.2,50,10.7,40,2017-11-08 19:54,T,3.8,T,2017-11-08 06:30,T,2017-11-08 06:30,0.2,1.8,7.24,12.0,-1.4
9,1012.9,1016.5,1014.8,2017-11-09 09:14,1011.2,2017-11-09 23:56,23.5,25.0,2017-11-09 11:04,21.9,2017-11-09 04:14,19.5,79,71,2017-11-09 22:49,4.3,50,13.4,40,2017-11-09 16:05,0.3,6.4,0.2,2017-11-09 03:57,0.3,2017-11-09 03:30,0.3,2.7,5.64,7.3,-0.6
10,1010.6,1014.1,1012.1,2017-11-10 22:30,1008.6,2017-11-10 14:04,27.0,32.1,2017-11-10 13:52,23.8,2017-11-10 06:16,20.6,69,54,2017-11-10 12:42,3.0,50,9.7,50,2017-11-10 00:40,0.0,0.0,0.0,,0.0,,7.9,72.3,15.07,28.3,5.1
11,1013.2,1016.8,1014.9,2017-11-11 09:39,1011.0,2017-11-11 01:56,22.2,25.2,2017-11-11 00:01,20.5,2017-11-11 22:34,17.9,77,73,2017-11-11 04:53,3.5,50,11.9,60,2017-11-11 03:31,1.4,4.1,0.3,2017-11-11 18:50,0.9,2017-11-11 18:25,0.0,0.0,0.92,11.5,-1.2
12,1012.0,1015.6,1013.6,2017-11-12 08:58,1010.6,2017-11-12 16:15,21.6,23.1,2017-11-12 11:26,20.3,2017-11-12 01:35,17.7,78,73,2017-11-12 13:35,3.6,50,11.9,70,2017-11-12 13:25,1.5,0.9,1.0,2017-11-12 23:27,1.5,2017-11-12 22:37,0.2,1.8,7.81,9.3,-4.0
13,1009.9,1013.4,1011.6,2017-11-13 08:56,1008.1,2017-11-13 14:40,22.8,24.3,2017-11-13 12:16,21.2,2017-11-13 04:33,19.3,81,76,2017-11-13 22:47,1.9,50,8.4,90,2017-11-13 08:37,29.5,16.4,3.0,2017-11-13 04:22,11.5,2017-11-13 03:35,0.0,0.0,3.35,21.8,X
